стихотворение,тема,ритм,рифма,текст,кластеры
Смирив со временем (как знать?),
По сердцу я нашла бы друга,
Была бы верная супруга
И добродетельная мать.Другой!.. Нет, никому на свете
Не отдала бы сердца я!
То в вышнем суждено совете…
То воля неба: я твоя;
Вся жизнь моя была залогом
Свиданья верного с тобой;
Я знаю, ты мне послан богом,
До гроба ты хранитель мой…
Ты в сновиденьях мне являлся,
Незримый, ты мне был уж мил,
Твой чудный взгляд меня томил,
В душе твой голос раздавался
Давно… нет, это был не сон!
Ты чуть вошел, я вмиг узнала,
Вся обомлела, запылала
И в мыслях молвила: вот он!
Не правда ль? Я тебя слыхала:
Ты говорил со мной в тиши,
Когда я бедным помогала
Или молитвой услаждала
Тоску волнуемой души?
И в это самое мгновенье
Не ты ли, милое виденье,
В прозрачной темноте мелькнул,
Приникнул тихо к изголовью?
Не ты ль, с отрадой и любовью,
Слова надежды мне шепнул?
Кто ты, мой ангел ли хранитель,
Или коварный искуситель:
Мои сомненья разреши.
Быть может, это все пустое,
Обман неопытной души!
И суждено совсем иное…
Но так и быть! Судьбу мою
Отныне я тебе вручаю,
Перед тобою слезы лью,
Твоей защиты умоляю…
Вообрази: я здесь одна,
Никто меня не понимает,
Рассудок мой изнемогает,
И молча гибнуть я должна.
Я жду тебя: единым взором
Надежды сердца оживи
Иль сон тяжелый перерви,
Увы, заслуженным укором!Кончаю! Страшно перечесть…
Стыдом и страхом замираю…
Но мне порукой ваша честь,
И смело ей себя вверяю…
Читать полное произведение﻿1833 г.",1
3,5,1,0,"Любви, надежды, тихой славы
Недолго нежил нас обман,
Исчезли юные забавы,
Как сон, как утренний туман;
Но в нас горит еще желанье,
Под гнетом власти роковой
Нетерпеливою душой
Отчизны внемлем призыванье.
Мы ждем с томленьем упованья
Минуты вольности святой,
Как ждет любовник молодой
Минуты верного свиданья.
Пока свободою горим,
Пока сердца для чести живы,
Мой друг, отчизне посвятим
Души прекрасные порывы!
Товарищ, верь: взойдет она,
Звезда пленительного счастья,
Россия вспрянет ото сна,
И на обломках самовластья
Напишут наши имена!1818 г.",1
4,12,1,0,"Я помню чудное мгновенье:
Передо мной явилась ты,
Как мимолетное виденье,
Как гений чистой красоты.В томленьях грусти безнадежной,
В тревогах шумной суеты,
Звучал мне долго голос нежный
И снились милые черты.Шли годы. Бурь порыв мятежный
Рассеял прежние мечты,
И я забыл твой голос нежный,
Твои небесные черты.В глуши, во мраке заточенья
Тянулись тихо дни мои
Без божества, без вдохновенья,
Без слез, без жизни, без любви.Душе настало пробужденье:
И вот опять явилась ты,
Как мимолетное виденье,
Как гений чистой красоты.И сердце бьется в упоенье,
И для него воскресли вновь
И божество, и вдохновенье,
И жизнь, и слезы, и любовь.",1
5,10,1,0,"Вы помните,
Вы всё, конечно, помните,
Как я стоял,
Приблизившись к стене,
Взволнованно ходили вы по комнате
И что-то резкое
В лицо бросали мне.Вы говорили:
Нам пора расстаться,
Что вас измучила
Моя шальная жизнь,
Что вам пора за дело приниматься,
А мой удел —
Катиться дальше, вниз.Любимая!
Меня вы не любили.
Не знали вы, что в сонмище людском
Я был как лошадь, загнанная в мыле,
Пришпоренная смелым ездоком.Не знали вы,
Что я в сплошном дыму,
В развороченном бурей быте
С того и мучаюсь, что не пойму —
Куда несет нас рок событий.Лицом к лицу
Лица не увидать.
Большое видится на расстоянье.
Когда кипит морская гладь —
Корабль в плачевном состоянье.Земля — корабль!
Но кто-то вдруг
За новой жизнью, новой славой
В прямую гущу бурь и вьюг
Ее направил величаво.Ну кто ж из нас на палубе большой
Не падал, не блевал и не ругался?
Их мало, с опытной душой,
Кто крепким в качке оставался.Тогда и я,
Под дикий шум,
Но зрело знающий работу,
Спустился в корабельный трюм,
Чтоб не смотреть людскую рвоту.Тот трюм был —
Русским кабаком.
И я склонился над стаканом,
Чтоб, не страдая ни о ком,
Себя сгубить
В угаре пьяном.Любимая!
Я мучил вас,
У вас была тоска
В глазах усталых:
Что я пред вами напоказ
Себя растрачивал в скандалах.Но вы не знали,
Что в сплошном дыму,
В развороченном бурей быте
С того и мучаюсь,
Что не пойму,
Куда несет нас рок событий…Теперь года прошли.
Я в возрасте ином.
И чувствую и мыслю по-иному.
И говорю за праздничным вином:
Хвала и слава рулевому!Сегодня я
В ударе нежных чувств.
Я вспомнил вашу грустную усталость.
И вот теперь
Я сообщить вам мчусь,
Каков я был,
И что со мною сталось!Любимая!
Сказать приятно мне:
Я избежал паденья с кручи.
Теперь в Советской стороне
Я самый яростный попутчик.Я стал не тем,
Кем был тогда.
Не мучил бы я вас,
Как это было раньше.
За знамя вольности
И светлого труда
Готов идти хоть до Ла-Манша.Простите мне…
Я знаю: вы не та —
Живете вы
С серьезным, умным мужем;
Что не нужна вам наша маета,
И сам я вам
Ни капельки не нужен.Живите так,
Как вас ведет звезда,
Под кущей обновленной сени.
С приветствием,
Вас помнящий всегда
Знакомый ваш
Сергей Есенин.1924 г.",1
6,13,1,0,"Отмщенье, государь, отмщенье!
Паду к ногам твоим:
Будь справедлив и накажи убийцу,
Чтоб казнь его в позднейшие века
Твой правый суд потомству возвестила,
Чтоб видели злодеи в ней пример.Погиб поэт! — невольник чести —
Пал, оклеветанный молвой,
С свинцом в груди и жаждой мести,
Поникнув гордой головой!..
Не вынесла душа поэта
Позора мелочных обид,
Восстал он против мнений света
Один, как прежде… и убит!
Убит!.. К чему теперь рыданья,
Пустых похвал ненужный хор
И жалкий лепет оправданья?
Судьбы свершился приговор!
Не вы ль сперва так злобно гнали
Его свободный, смелый дар
И для потехи раздували
Чуть затаившийся пожар?
Что ж? веселитесь… Он мучений
Последних вынести не мог:
Угас, как светоч, дивный гений,
Увял торжественный венок.Его убийца хладнокровно
Навел удар… спасенья нет:
Пустое сердце бьется ровно,
В руке не дрогнул пистолет.
И что за диво?.. издалека,
Подобный сотням беглецов,
На ловлю счастья и чинов
Заброшен к нам по воле рока;
Смеясь, он дерзко презирал
Земли чужой язык и нравы;
Не мог щадить он нашей славы;
Не мог понять в сей миг кровавый,
На что он руку поднимал!..И он убит — и взят могилой,
Как тот певец, неведомый, но милый,
Добыча ревности глухой,
Воспетый им с такою чудной силой,
Сраженный, как и он, безжалостной рукой.Зачем от мирных нег и дружбы простодушной
Вступил он в этот свет завистливый и душный
Для сердца вольного и пламенных страстей?
Зачем он руку дал клеветникам ничтожным,
Зачем поверил он словам и ласкам ложным,
Он, с юных лет постигнувший людей?..И прежний сняв венок — они венец терновый,
Увитый лаврами, надели на него:
Но иглы тайные сурово
Язвили славное чело;
Отравлены его последние мгновенья
Коварным шепотом насмешливых невежд,
И умер он — с напрасной жаждой мщенья,
С досадой тайною обманутых надежд.
Замолкли звуки чудных песен,
Не раздаваться им опять:
Приют певца угрюм и тесен,
И на устах его печать.А вы, надменные потомки
Известной подлостью прославленных отцов,
Пятою рабскою поправшие обломки
Игрою счастия обиженных родов!
Вы, жадною толпой стоящие у трона,
Свободы, Гения и Славы палачи!
Таитесь вы под сению закона,
Пред вами суд и правда — всё молчи!..
Но есть и божий суд, наперсники разврата!
Есть грозный суд: он ждет;
Он не доступен звону злата,
И мысли, и дела он знает наперед.
Тогда напрасно вы прибегнете к злословью:
Оно вам не поможет вновь,
И вы не смоете всей вашей черной кровью
Поэта праведную кровь!1837 г.",1
7,2,0,1,"Три девицы под окном
Пряли поздно вечерком.
«Кабы я была царица, —
Говорит одна девица, —
То на весь крещеный мир
Приготовила б я пир».
«Кабы я была царица, —
Говорит ее сестрица, —
То на весь бы мир одна
Наткала я полотна».
«Кабы я была царица, —
Третья молвила сестрица, —
Я б для батюшки-царя
Родила богатыря».Только вымолвить успела,
Дверь тихонько заскрипела,
И в светлицу входит царь,
Стороны той государь.
Во всё время разговора
Он стоял позадь забора;
Речь последней по всему
Полюбилася ему.
«Здравствуй, красная девица, —
Говорит он, — будь царица
И роди богатыря
Мне к исходу сентября.
Вы ж, голубушки-сестрицы,
Выбирайтесь из светлицы,
Поезжайте вслед за мной,
Вслед за мной и за сестрой:
Будь одна из вас ткачиха,
А другая повариха».В сени вышел царь-отец.
Все пустились во дворец.
Царь недолго собирался:
В тот же вечер обвенчался.
Царь Салтан за пир честной
Сел с царицей молодой;
А потом честные гости
На кровать слоновой кости
Положили молодых
И оставили одних.
В кухне злится повариха,
Плачет у станка ткачиха,
И завидуют оне
Государевой жене.
А царица молодая,
Дела вдаль не отлагая,
С первой ночи понесла.В те поры война была.
Царь Салтан, с женой простяся,
На добра-коня садяся,
Ей наказывал себя
Поберечь, его любя.
Между тем, как он далёко
Бьется долго и жестоко,
Наступает срок родин;
Сына бог им дал в аршин,
И царица над ребенком
Как орлица над орленком;
Шлет с письмом она гонца,
Чтоб обрадовать отца.
А ткачиха с поварихой,
С сватьей бабой Бабарихой,
Извести ее хотят,
Перенять гонца велят;
Сами шлют гонца другого
Вот с чем от слова до слова:
«Родила царица в ночь
Не то сына, не то дочь;
Не мышонка, не лягушку,
А неведому зверюшку».Как услышал царь-отец,
Что донес ему гонец,
В гневе начал он чудесить
И гонца хотел повесить;
Но, смягчившись на сей раз,
Дал гонцу такой приказ:
«Ждать царева возвращенья
Для законного решенья».Едет с грамотой гонец,
И приехал наконец.
А ткачиха с поварихой,
С сватьей бабой Бабарихой,
Обобрать его велят;
Допьяна гонца поят
И в суму его пустую
Суют грамоту другую —
И привез гонец хмельной
В тот же день приказ такой:
«Царь велит своим боярам,
Времени не тратя даром,
И царицу и приплод
Тайно бросить в бездну вод».
Делать нечего: бояре,
Потужив о государе
И царице молодой,
В спальню к ней пришли толпой.
Объявили царску волю —
Ей и сыну злую долю,
Прочитали вслух указ,
И царицу в тот же час
В бочку с сыном посадили,
Засмолили, покатили
И пустили в Окиян —
Так велел-де царь Салтан.В синем небе звезды блещут,
В синем море волны хлещут;
Туча по небу идет,
Бочка по морю плывет.
Словно горькая вдовица,
Плачет, бьется в ней царица;
И растет ребенок там
Не по дням, а по часам.
День прошел, царица вопит…
А дитя волну торопит:
«Ты, волна моя, волна!
Ты гульлива и вольна;
Плещешь ты, куда захочешь,
Ты морские камни точишь,
Топишь берег ты земли,
Подымаешь корабли —
Не губи ты нашу душу:
Выплесни ты нас на сушу!»
И послушалась волна:
Тут же на берег она
Бочку вынесла легонько
И отхлынула тихонько.
Мать с младенцем спасена;
Землю чувствует она.
Но из бочки кто их вынет?
Бог неужто их покинет?
Сын на ножки поднялся,
В дно головкой уперся,
Понатужился немножко:
«Как бы здесь на двор окошко
Нам проделать?» — молвил он,
Вышиб дно и вышел вон.Мать и сын теперь на воле;
Видят холм в широком поле,
Море синее кругом,
Дуб зеленый над холмом.
Сын подумал: добрый ужин
Был бы нам, однако, нужен.
Ломит он у дуба сук
И в тугой сгибает лук,
Со креста шнурок шелковый
Натянул на лук дубовый,
Тонку тросточку сломил,
Стрелкой легкой завострил
И пошел на край долины
У моря искать дичины.К морю лишь подходит он,
Вот и слышит будто стон…
Видно на море не тихо;
Смотрит — видит дело лихо:
Бьется лебедь средь зыбей,
Коршун носится над ней;
Та бедняжка так и плещет,
Воду вкруг мутит и хлещет…
Тот уж когти распустил,
Клёв кровавый навострил…
Но как раз стрела запела,
В шею коршуна задела —
Коршун в море кровь пролил,
Лук царевич опустил;
Смотрит: коршун в море тонет
И не птичьим криком стонет,
Лебедь около плывет,
Злого коршуна клюет,
Гибель близкую торопит,
Бьет крылом и в море топит —
И царевичу потом
Молвит русским языком:
«Ты, царевич, мой спаситель,
Мой могучий избавитель,
Не тужи, что за меня
Есть не будешь ты три дня,
Что стрела пропала в море;
Это горе — всё не горе.
Отплачу тебе добром,
Сослужу тебе потом:
Ты не лебедь ведь избавил,
Девицу в живых оставил;
Ты не коршуна убил,
Чародея подстрелил.
Ввек тебя я не забуду:
Ты найдешь меня повсюду,
А теперь ты воротись,
Не горюй и спать ложись».Улетела лебедь-птица,
А царевич и царица,
Целый день проведши так,
Лечь решились натощак.
Вот открыл царевич очи;
Отрясая грезы ночи
И дивясь, перед собой
Видит город он большой,
Стены с частыми зубцами,
И за белыми стенами
Блещут маковки церквей
И святых монастырей.
Он скорей царицу будит;
Та как ахнет!.. «То ли будет? —
Говорит он, — вижу я:
Лебедь тешится моя».
Мать и сын идут ко граду.
Лишь ступили за ограду,
Оглушительный трезвон
Поднялся со всех сторон:
К ним народ навстречу валит,
Хор церковный бога хвалит;
В колымагах золотых
Пышный двор встречает их;
Все их громко величают
И царевича венчают
Княжей шапкой, и главой
Возглашают над собой;
И среди своей столицы,
С разрешения царицы,
В тот же день стал княжить он
И нарекся: князь Гвидон.Ветер на море гуляет
И кораблик подгоняет;
Он бежит себе в волнах
На раздутых парусах.
Корабельщики дивятся,
На кораблике толпятся,
На знакомом острову
Чудо видят наяву:
Город новый златоглавый,
Пристань с крепкою заставой;
Пушки с пристани палят,
Кораблю пристать велят.
Пристают к заставе гости;
Князь Гвидон зовет их в гости,
Их он кормит и поит
И ответ держать велит:
«Чем вы, гости, торг ведете
И куда теперь плывете?»
Корабельщики в ответ:
«Мы объехали весь свет,
Торговали соболями,
Чернобурыми лисами;
А теперь нам вышел срок,
Едем прямо на восток,
Мимо острова Буяна,
В царство славного Салтана…»
Князь им вымолвил тогда:
«Добрый путь вам, господа,
По морю по Окияну
К славному царю Салтану;
От меня ему поклон».
Гости в путь, а князь Гвидон
С берега душой печальной
Провожает бег их дальный;
Глядь — поверх текучих вод
Лебедь белая плывет.
«Здравствуй, князь ты мой прекрасный!
Что ты тих, как день ненастный?
Опечалился чему?» —
Говорит она ему.
Князь печально отвечает:
«Грусть-тоска меня съедает,
Одолела молодца:
Видеть я б хотел отца».
Лебедь князю: «Вот в чем горе!
Ну, послушай: хочешь в море
Полететь за кораблем?
Будь же, князь, ты комаром».
И крылами замахала,
Воду с шумом расплескала
И обрызгала его
С головы до ног всего.
Тут он в точку уменьшился,
Комаром оборотился,
Полетел и запищал,
Судно на море догнал,
Потихоньку опустился
На корабль — и в щель забился.Ветер весело шумит,
Судно весело бежит
Мимо острова Буяна,
К царству славного Салтана,
И желанная страна
Вот уж издали видна.
Вот на берег вышли гости;
Царь Салтан зовет их в гости,
И за ними во дворец
Полетел наш удалец.
Видит: весь сияя в злате,
Царь Салтан сидит в палате
На престоле и в венце
С грустной думой на лице;
А ткачиха с поварихой,
С сватьей бабой Бабарихой,
Около царя сидят
И в глаза ему глядят.
Царь Салтан гостей сажает
За свой стол и вопрошает:
«Ой вы, гости-господа,
Долго ль ездили? куда?
Ладно ль за морем, иль худо?
И какое в свете чудо?»
Корабельщики в ответ:
«Мы объехали весь свет;
За морем житье не худо,
В свете ж вот какое чудо:
В море остров был крутой,
Не привальный, не жилой;
Он лежал пустой равниной;
Рос на нем дубок единый;
А теперь стоит на нем
Новый город со дворцом,
С златоглавыми церквами,
С теремами и садами,
А сидит в нем князь Гвидон;
Он прислал тебе поклон».
Царь Салтан дивится чуду;
Молвит он: «Коль жив я буду,
Чудный остров навещу,
У Гвидона погощу».
А ткачиха с поварихой,
С сватьей бабой Бабарихой,
Не хотят его пустить
Чудный остров навестить.
«Уж диковинка, ну право, —
Подмигнув другим лукаво,
Повариха говорит, —
Город у моря стоит!
Знайте, вот что не безделка:
Ель в лесу, под елью белка,
Белка песенки поет
И орешки всё грызет,
А орешки не простые,
Все скорлупки золотые,
Ядра — чистый изумруд;
Вот что чудом-то зовут».
Чуду царь Салтан дивится,
А комар-то злится, злится —
И впился комар как раз
Тетке прямо в правый глаз.
Повариха побледнела,
Обмерла и окривела.
Слуги, сватья и сестра
С криком ловят комара.
«Распроклятая ты мошка!
Мы тебя!..» А он в окошко,
Да спокойно в свой удел
Через море полетел.Снова князь у моря ходит,
С синя моря глаз не сводит;
Глядь — поверх текучих вод
Лебедь белая плывет.
«Здравствуй, князь ты мой прекрасный!
Что ж ты тих, как день ненастный?
Опечалился чему?» —
Говорит она ему.
Князь Гвидон ей отвечает:
«Грусть-тоска меня съедает;
Чудо чудное завесть
Мне б хотелось. Где-то есть
Ель в лесу, под елью белка;
Диво, право, не безделка —
Белка песенки поет,
Да орешки все грызет,
А орешки не простые,
Все скорлупки золотые,
Ядра — чистый изумруд;
Но, быть может, люди врут».
Князю лебедь отвечает:
«Свет о белке правду бает;
Это чудо знаю я;
Полно, князь, душа моя,
Не печалься; рада службу
Оказать тебе я в дружбу».
С ободренною душой
Князь пошел себе домой;
Лишь ступил на двор широкий —
Что ж? под елкою высокой,
Видит, белочка при всех
Золотой грызет орех,
Изумрудец вынимает,
А скорлупку собирает,
Кучки равные кладет
И с присвисточкой поет
При честном при всем народе:
Во саду ли, в огороде.
Изумился князь Гвидон.
«Ну, спасибо, — молвил он, —
Ай да лебедь — дай ей боже,
Что и мне, веселье то же».
Князь для белочки потом
Выстроил хрустальный дом,
Караул к нему приставил
И притом дьяка заставил
Строгий счет орехам весть.
Князю прибыль, белке честь.Ветер по морю гуляет
И кораблик подгоняет;
Он бежит себе в волнах
На поднятых парусах
Мимо острова крутого,
Мимо города большого:
Пушки с пристани палят,
Кораблю пристать велят.
Пристают к заставе гости;
Князь Гвидон зовет их в гости,
Их и кормит и поит
И ответ держать велит:
«Чем вы, гости, торг ведете
И куда теперь плывете?»
Корабельщики в ответ:
«Мы объехали весь свет,
Торговали мы конями,
Всё донскими жеребцами,
А теперь нам вышел срок —
И лежит нам путь далек:
Мимо острова Буяна,
В царство славного Салтана…»
Говорит им князь тогда:
«Добрый путь вам, господа,
По морю по Окияну
К славному царю Салтану;
Да скажите: князь Гвидон
Шлет царю-де свой поклон».Гости князю поклонились,
Вышли вон и в путь пустились.
К морю князь — а лебедь там
Уж гуляет по волнам.
Молит князь: душа-де просит,
Так и тянет и уносит…
Вот опять она его
Вмиг обрызгала всего:
В муху князь оборотился,
Полетел и опустился
Между моря и небес
На корабль — и в щель залез.Ветер весело шумит,
Судно весело бежит
Мимо острова Буяна,
В царство славного Салтана —
И желанная страна
Вот уж издали видна;
Вот на берег вышли гости;
Царь Салтан зовет их в гости,
И за ними во дворец
Полетел наш удалец.
Видит: весь сияя в злате,
Царь Салтан сидит в палате
На престоле и в венце,
С грустной думой на лице.
А ткачиха с Бабарихой
Да с кривою поварихой
Около царя сидят,
Злыми жабами глядят.
Царь Салтан гостей сажает
За свой стол и вопрошает:
«Ой вы, гости-господа,
Долго ль ездили? куда?
Ладно ль за морем, иль худо,
И какое в свете чудо?»
Корабельщики в ответ:
«Мы объехали весь свет;
За морем житье не худо;
В свете ж вот какое чудо:
Остров на море лежит,
Град на острове стоит
С златоглавыми церквами,
С теремами да садами;
Ель растет перед дворцом,
А под ней хрустальный дом;
Белка там живет ручная,
Да затейница какая!
Белка песенки поет,
Да орешки всё грызет,
А орешки не простые,
Всё скорлупки золотые,
Ядра — чистый изумруд;
Слуги белку стерегут,
Служат ей прислугой разной —
И приставлен дьяк приказный
Строгий счет орехам весть;
Отдает ей войско честь;
Из скорлупок льют монету,
Да пускают в ход по свету;
Девки сыплют изумруд
В кладовые, да под спуд;
Все в том острове богаты,
Изоб нет, везде палаты;
А сидит в нем князь Гвидон;
Он прислал тебе поклон».
Царь Салтан дивится чуду.
«Если только жив я буду,
Чудный остров навещу,
У Гвидона погощу».
А ткачиха с поварихой,
С сватьей бабой Бабарихой,
Не хотят его пустить
Чудный остров навестить.
Усмехнувшись исподтиха,
Говорит царю ткачиха:
«Что тут дивного? ну, вот!
Белка камушки грызет,
Мечет золото и в груды
Загребает изумруды;
Этим нас не удивишь,
Правду ль, нет ли говоришь.
В свете есть иное диво:
Море вздуется бурливо,
Закипит, подымет вой,
Хлынет на берег пустой,
Разольется в шумном беге,
И очутятся на бреге,
В чешуе, как жар горя,
Тридцать три богатыря,
Все красавцы удалые,
Великаны молодые,
Все равны, как на подбор,
С ними дядька Черномор.
Это диво, так уж диво,
Можно молвить справедливо!»
Гости умные молчат,
Спорить с нею не хотят.
Диву царь Салтан дивится,
А Гвидон-то злится, злится…
Зажужжал он и как раз
Тетке сел на левый глаз,
И ткачиха побледнела:
«Ай!» и тут же окривела;
Все кричат: «Лови, лови,
Да дави ее, дави…
Вот ужо! постой немножко,
Погоди…» А князь в окошко,
Да спокойно в свой удел
Через море прилетел.Князь у синя моря ходит,
С синя моря глаз не сводит;
Глядь — поверх текучих вод
Лебедь белая плывет.
«Здравствуй, князь ты мой прекрасный!
Что ты тих, как день ненастный?
Опечалился чему?» —
Говорит она ему.
Князь Гвидон ей отвечает:
«Грусть-тоска меня съедает —
Диво б дивное хотел
Перенесть я в мой удел».
«А какое ж это диво?»
— Где-то вздуется бурливо
Окиян, подымет вой,
Хлынет на берег пустой,
Расплеснется в шумном беге,
И очутятся на бреге,
В чешуе, как жар горя,
Тридцать три богатыря,
